Entity,Emissions per kilogram
Potatoes,0.2072761620938628
Onions,0.3628603477707006
Almond butter,0.3870113076923077
Apple juice,0.4583783999999999
Limes,0.4630078571428571
Oranges,0.4665495395348837
Lemons,0.4701528599999999
Orange juice,0.4888484060085837
Apples,0.5073538973544973
Coconut oil,0.5287412809523809
Almonds,0.6023678597222223
Almond milk,0.6558875395161291
Courgettes,0.846479423076923
Cucumber,0.8471137361163819
Bananas,0.8733495729166667
Cabbage,0.8902840710144927
Cauliflower,0.8917262454545455
Broccoli,0.8974015212121212
Kale,0.9034191734693876
Peppers,0.9186621428571428
Avocados,0.921227093548387
Pears,0.9255553739583332
Asparagus,0.9256918166666668
Pineapple,0.9320080325
Carrots,0.935163376
Watermelon,0.96940275
Sweetcorn,0.9712034777777776
Parsnips,0.989606512
Garden peas,1.00383673125
Spinach,1.0091279447881063
Tofu,1.0208654566666666
Pasta shells,1.0255827666666666
Melon,1.0565359743589744
Quinoa,1.1386422326086956
Couscous,1.1579787751631003
Chia seeds,1.2205535
Pumpkin seeds,1.3239754169230769
Chickpeas,1.3443528666666666
Beans,1.3733080129032258
Rice milk,1.4417970766666668
Kiwis,1.6137066606060604
Penne pasta,1.6251067503703704
Spaghetti,1.6460149465648857
Popcorn,1.813625906
Sugar,1.851685668181818
Sunflower seeds,1.9344241125
Cashew nuts,2.087644250617284
Tomatoes,2.271515456192983
Mushrooms,2.3529166740331493
Walnuts,2.4163077789473686
Brazil nuts,2.513051435714286
Pecan nuts,2.5159416210526317
Lentils,2.536520218918919
Beetroot,2.6582406426355467
Peanuts,3.1462268521739127
Strawberries,3.241715
Rapeseed oil,3.288695422222222
Coconut milk,3.319989781818182
Butter,3.324503183006536
Rice noodles,3.411126114285714
Peanut butter,3.434960202255639
Sunflower oil,3.6613972142857145
Rice,3.925909801226994
Eggs,4.436600070403587
Lettuce,4.926023126492997
Olive oil,5.184628231372549
Grapes,8.278876373015873
Raspberries,8.3709720025
Salmon,10.412581473563218
Milk chocolate,10.800274824937029
Cod,10.904109307377048
Tuna,13.075354910344828
Mackerel,13.606384471999998
Feta cheese,14.838609167741934
Halloumi cheese,16.172452393333334
Mozzarella cheese,16.233199963265307
Camembert,16.2814304627907
Ricotta cheese,16.294973589473685
Coffee beans,16.824608285840707
Macaroni cheese,16.849313125000002
Tea,17.621043520156775
Brie,19.139581434146343
Goat's cheese,19.312073018867927
Bacon,19.314209012302378
Blue cheese,20.10575330625
Coffee pods,20.29976355789473
Dark chocolate,20.62003664137931
Cheddar cheese,20.749044536746982
Prawns,20.91128278264463
Parmesan cheese,24.016479826923074
Cottage cheese,25.278503140540536
Lamb (leg),30.74094725519043
Beef mince,95.0345722731625
Beef steak,129.74771482600087
