Entity,Emissions per kilogram
Potatoes,0.20727616209386285
Onions,0.36286034777070064
Almond butter,0.3870113076923077
Frozen sweet potato fries,0.4098848176470588
Oat milk,0.4532805909090909
Apple juice,0.4583784
Limes,0.4630078571428571
Oranges,0.4665495395348837
Lemons,0.47015286
Ale,0.48868986875
Orange juice,0.4888484060085837
Soy yoghurt,0.4960198166666666
Apples,0.5073538973544973
Frozen jacket potatoes,0.5175197588235294
Coconut oil,0.5287412809523809
Pitta bread,0.5635607857142857
Almonds,0.6023678597222223
Almond milk,0.6558875395161291
Frozen potato wedges,0.66477544
Beer,0.6862832217391304
Nut loaf,0.7161309571428571
Frozen chips (french fries),0.7534718473684211
Frozen onion rings,0.7711746933333334
Potato croquettes,0.7742251222222223
Bagels,0.8028126
Frozen mashed potato,0.8266427090909091
Courgettes,0.846479423076923
Cucumber,0.8471137361163819
Sourdough bread,0.8511672736196321
Meat-free nuggets,0.8618467304347827
Bananas,0.8733495729166667
Meat-free mince,0.8770376238095239
Bread,0.8787608464606183
Cabbage,0.8902840710144927
Cauliflower,0.8917262454545455
Soy milk,0.8931078380434783
Broccoli,0.8974015212121212
Kale,0.9034191734693876
Peppers,0.9186621428571428
Mixed salad,0.9209
Avocados,0.9212270935483872
Pears,0.9255553739583332
Asparagus,0.9256918166666668
Pineapple,0.9320080325
Carrots,0.935163376
Tortilla wraps,0.9485836666666668
Meat-free sausages,0.9625576706896553
Watermelon,0.96940275
Sweetcorn,0.9712034777777776
Parsnips,0.989606512
Baguette,0.9956444215686276
Garden peas,1.00383673125
Spinach,1.0091279447881063
Naan,1.0132342196078432
Meat-free burger,1.0183294723880598
Tofu,1.0208654566666666
Pasta shells,1.0255827666666666
Melon,1.0565359743589744
Cider,1.0816328666666666
Soy desert,1.0872644037037036
Falafels,1.098106175
Quinoa,1.1386422326086956
Couscous,1.1579787751631003
Frozen roast potatoes,1.203417143902439
Chia seeds,1.2205535
Apple pie,1.2449736986040187
Vegetarian curry,1.3091650341463414
Ice lollies,1.3143929375
Pumpkin seeds,1.3239754169230769
Chickpeas,1.3443528666666666
Beans,1.3733080129032258
Egg noodles,1.3815115279411767
Apricot jam,1.3821050899999998
Vegetarian chilli con carne,1.4292908166666665
Rice milk,1.4417970766666668
Breakfast cereal,1.4934272760956175
Poppadoms,1.50061802
Pancakes,1.5478088875481386
Marmalade,1.5489212745945946
Porridge (oatmeal),1.5551690241379308
Kiwis,1.6137066606060604
Penne pasta,1.6251067503703704
Spaghetti,1.6460149465648857
Fruit smoothies,1.6489147438016527
Croissants,1.6822277803614705
Wine,1.7228808271791285
Protein shake,1.7437289185185187
Granola,1.7811926156448203
Popcorn,1.813625906
Sugar,1.851685668181818
Banana loaf,1.868787355555556
Sponge cake,1.8774483782608695
Sunflower seeds,1.9344241125
Flapjack,1.9476826133333331
Vegan pizza,1.948103649147688
Lasagne sheets,1.96138175
Dairy-free cheese,1.976174015
Carrot cake,2.0107220066666667
Caesar salad,2.0791893426509587
Cashew nuts,2.0876442506172843
Doughnuts,2.1996649344581134
Shortbread biscuits,2.223782583333333
Cherry tomatoes,2.2663599999999997
Tomatoes,2.271515456192983
Muesli,2.271910570798898
Beef noodles,2.290114275
Mushrooms,2.3529166740331493
Cheesecake,2.369301844444444
Chicken noodles,2.383995704574977
Walnuts,2.4163077789473686
Cracker biscuits,2.4484662921875
Dairy-free ice cream,2.4511965433333334
Brazil nuts,2.5130514357142864
Pecan nuts,2.5159416210526317
Lentils,2.536520218918919
Muffins,2.5836309558468336
Strawberry jam,2.5966625545454547
Tomato ketchup,2.609794211941467
Beetroot,2.6582406426355467
Pain au chocolat,2.8095122264047983
Cereal bars,2.8533841636861315
Chocolate cereals,2.8776255585585586
