id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
1301946,167746,1186,0.0,0,68.0,,,,,
1301947,167746,1261,0.0,0,,,,,,
1301948,167746,1263,0.0,0,,,,,,
1301949,167746,1278,0.0,0,,,,,,
1301950,167746,1280,0.0,0,,,,,,
1301951,167746,1272,0.0,0,,,,,,
1301952,167746,1259,0.0,0,,,,,,
1301953,167746,1260,0.0,0,,,,,,
1301954,167746,1262,0.0,0,,,,,,
1301955,167746,1271,0.0,0,,,,,,
1301956,167746,1276,0.0,0,,,,,,
1301957,167746,1277,0.0,0,,,,,,
1301958,167746,1279,0.0,0,,,,,,
1301959,167746,1109,0.15,0,20.0,,,,,
1301960,167746,1123,11.0,2,1.0,9.0,12.0,,,
1301961,167746,1057,0.0,0,68.0,,,,,
1301962,167746,1058,0.0,0,68.0,,,,,
1301963,167746,2000,2.5,0,67.0,,,,,
1301964,167746,1185,0.0,0,20.0,,,,,
1301965,167746,1107,3.0,2,1.0,3.0,3.0,,,
1301966,167746,1108,1.0,2,1.0,0.0,1.0,,,
1301967,167746,1120,20.0,1,1.0,,,,,
1301968,167746,1122,0.0,1,1.0,,,,,
1301969,167746,1104,22.0,0,,,,,,
1301970,167746,1062,121.0,0,,,,,,
1301971,167746,1187,11.0,7,,,,,,
1301972,167746,1106,1.0,0,,,,,,
1301973,167746,1190,11.0,0,49.0,,,,,
1301974,167746,1180,5.1,0,20.0,,,,,
1301975,167746,1110,0.0,0,68.0,,,,,
1301976,167746,1257,0.0,0,68.0,,,,,
1301977,167746,1018,0.0,0,,,,,,
1301978,167746,1105,0.0,0,68.0,,,,,
1301979,167746,1003,1.1,0,,,,,,
1301980,167746,1007,0.3,0,,,,,,
1301981,167746,1275,0.001,0,,,,,,
1301982,167746,1162,53.0,0,,,,,,
1301983,167746,1165,0.04,0,,,,,,
1301984,167746,1166,0.02,0,,,,,,
1301985,167746,1177,11.0,7,,,,,,
1301986,167746,1178,0.0,0,68.0,,,,,
1301987,167746,1079,2.8,0,,,,,,
1301988,167746,1089,0.6,0,,,,,,
1301989,167746,1090,8.0,0,,,,,,
1301990,167746,1091,16.0,0,,,,,,
1301991,167746,1093,2.0,0,,,,,,
1301992,167746,1098,0.037000000000000005,1,,,,,,
1301993,167746,1101,0.03,0,,,,,,
1301994,167746,1258,0.039,0,,,,,,
1301995,167746,1264,0.001,0,,,,,,
1301996,167746,1253,0.0,0,68.0,,,,,
1301997,167746,1004,0.3,0,,,,,,
1301998,167746,1005,9.32,0,49.0,,,,,
1301999,167746,1008,29.0,0,49.0,,,,,
1302000,167746,1051,88.98,5,,,,,,
1302001,167746,1087,26.0,0,,,,,,
1302002,167746,1092,138.0,0,,,,,,
1302003,167746,1095,0.06,1,,,,,,
1302004,167746,1167,0.1,0,,,,,,
1302005,167746,1170,0.19,0,,,,,,
1302006,167746,1175,0.08,0,,,,,,
1302007,167746,1292,0.011,0,,,,,,
1302008,167746,1293,0.08900000000000001,0,,,,,,
