fdc_id,data_type,description,food_category_id,publication_date
170032,sr_legacy_food,"Potatoes, raw, skin",11,2019-04-01
170000,sr_legacy_food,"Onions, raw",11,2019-04-01
168588,sr_legacy_food,"Nuts, almond butter, plain, without salt added",12,2019-04-01
173933,sr_legacy_food,"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",9,2019-04-01
168155,sr_legacy_food,"Limes, raw",9,2019-04-01
169097,sr_legacy_food,"Oranges, raw, all commercial varieties",9,2019-04-01
167746,sr_legacy_food,"Lemons, raw, without peel",9,2019-04-01
169098,sr_legacy_food,"Orange juice, raw (Includes foods for USDA's Food Distribution Program)",9,2019-04-01
171689,sr_legacy_food,"Apples, raw, without skin",9,2019-04-01
171412,sr_legacy_food,"Oil, coconut",4,2019-04-01
170567,sr_legacy_food,"Nuts, almonds",12,2019-04-01
174832,sr_legacy_food,"Beverages, almond milk, unsweetened, shelf stable",14,2019-04-01
169291,sr_legacy_food,"Squash, summer, zucchini, includes skin, raw",11,2019-04-01
169225,sr_legacy_food,"Cucumber, peeled, raw",11,2019-04-01
173944,sr_legacy_food,"Bananas, raw",9,2019-04-01
169975,sr_legacy_food,"Cabbage, raw",11,2019-04-01
169986,sr_legacy_food,"Cauliflower, raw",11,2019-04-01
170379,sr_legacy_food,"Broccoli, raw",11,2019-04-01
168421,sr_legacy_food,"Kale, raw",11,2019-04-01
170108,sr_legacy_food,"Peppers, sweet, red, raw",11,2019-04-01
171705,sr_legacy_food,"Avocados, raw, all commercial varieties",9,2019-04-01
169118,sr_legacy_food,"Pears, raw",9,2019-04-01
168389,sr_legacy_food,"Asparagus, raw",11,2019-04-01
169124,sr_legacy_food,"Pineapple, raw, all varieties",9,2019-04-01
170393,sr_legacy_food,"Carrots, raw",11,2019-04-01
167765,sr_legacy_food,"Watermelon, raw",9,2019-04-01
169998,sr_legacy_food,"Corn, sweet, yellow, raw",11,2019-04-01
170417,sr_legacy_food,"Parsnips, raw",11,2019-04-01
170419,sr_legacy_food,"Peas, green, raw",11,2019-04-01
168462,sr_legacy_food,"Spinach, raw",11,2019-04-01
174290,sr_legacy_food,"Tofu, extra firm, prepared with nigari",16,2019-04-01
168927,sr_legacy_food,"Pasta, dry, unenriched",20,2019-04-01
169092,sr_legacy_food,"Melons, cantaloupe, raw",9,2019-04-01
168874,sr_legacy_food,"Quinoa, uncooked",20,2019-04-01
169699,sr_legacy_food,"Couscous, dry",20,2019-04-01
170554,sr_legacy_food,"Seeds, chia seeds, dried",12,2019-04-01
170556,sr_legacy_food,"Seeds, pumpkin and squash seed kernels, dried",12,2019-04-01
173756,sr_legacy_food,"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",16,2019-04-01
173734,sr_legacy_food,"Beans, black, mature seeds, raw",16,2019-04-01
171942,sr_legacy_food,"Beverages, rice milk, unsweetened",14,2019-04-01
168153,sr_legacy_food,"Kiwifruit, green, raw",9,2019-04-01
168927,sr_legacy_food,"Pasta, dry, unenriched",20,2019-04-01
168927,sr_legacy_food,"Pasta, dry, unenriched",20,2019-04-01
167959,sr_legacy_food,"Snacks, popcorn, air-popped",23,2019-04-01
168833,sr_legacy_food,"Sugars, brown",19,2019-04-01
170562,sr_legacy_food,"Seeds, sunflower seed kernels, dried",12,2019-04-01
170162,sr_legacy_food,"Nuts, cashew nuts, raw",12,2019-04-01
170457,sr_legacy_food,"Tomatoes, red, ripe, raw, year round average",11,2019-04-01
169251,sr_legacy_food,"Mushrooms, white, raw",11,2019-04-01
170187,sr_legacy_food,"Nuts, walnuts, english",12,2019-04-01
